model_answer,student_answer,grades
A binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,binary tree data order leave right,4
A binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,binary search tree fundamental data structure use construct abstract data structure set multisets associative array,2
A binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,binary search tree similar binary tree implement organize data specific way later search,3
A binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,binary search tree tree also condition node maximum 2 child input data compare data tree start root value small root traverse leave large traverse right becomes leaf,4
A binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,binary tree node value total order define on value leave subtree node contain only value less node s value right subtree node contain only value great equal node s value,5
A binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,special binary tree rule subtrees on right small node value subtrees on left large node value,5
A binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,binary tree special organization data leave child element less it right child large it,5
A binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,binary tree value node n great value every node n s leave subtree less every value n s right subtree,5
A binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,binary tree data organize specific arangment,2
A binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,binary tree child order right side great current node leave less equal current node,5
A binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,binary search tree finite set node either empty consits root two disjoint binary tree call left right subtrees,1
A binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,binary search tree binary tree value node n great value every node n s leave subtree less every node n s right subtree,5
A binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,tree split base on value make easy search one compare desire value root root great than search leave side tree less than search right side thing recursively,5
A binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,binary tree search key node n great search key node n s leave subtree less search key node n s right subtree,5
A binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,tree small value locate on left parent node large value locate on right parent node,5
A binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,binary search tree special tree node two child label leave child right child,1
A binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,binary tree node unique key leave child node only value less node right child node high value node,5
A binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,similar binary tree key nonempty leave subtree right subtree small large key root subtree value node leave subtree node less node value value node right subtree node great node value,5
A binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,tree set up easily search number base on location compare previous node,3
A binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,binary search tree special binary tree arrange every left child node contain value less parent every right child node contain value great parent,5
A binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,binary tree value node n great value every node n s leave subtree less value every node n s right subtree,5
